Brand,Model,Price Details,Availability,Promos / Offers,Review Details,Q&A / FAQ,Processor,Operating System,Graphics,Chipset,Memory (RAM),Storage,Display,External Monitor Support,Audio,Camera,Input Devices,Dimensions & Weight,Case / Chassis,Ports,Card Reader,Wireless Networking,Wired Networking,Mobile Broadband,Docking,Battery,Power Adapter,Biometric Security,General Security,Software & Management,Warranty,Environmental & Durability Standards
HP,ProBook 440 14 inch G11 Notebook PC,"$2,229.00 ",Available,"Pay As Low As $93 per month for 24 months with the HP Credit Account. Total Payments of $2,229^ Learn More | Prequalify Now*
FREE Storewide Shipping
Save $30 on select printers when you buy any PC!
3% back in HP Rewards","{""Overall Rating"": ""4.3/5 (56 reviews)"", ""Star Breakdown"": ""5-star: 39, 4-star: 11, 3-star: 1, 2-star: 0, 1-star: 6"", ""AI Summary"": Most users feel the HP ProBook 440 G11 is a solid pick for business work: fast enough, fairly reliable, and portable. If your usage is light to moderate (docs, browsing, coding, video playback) it will likely satisfy you. But if you expect long battery life under heavy load, heavy graphics work, or want lots of upgrade headroom, its limitations (battery and expansion) might become pain points., ""User Feedback"": ""Praised for its sleek design and fast performance. However, multiple, consistent reviews report that the battery life is disappointingly short.""}","[""Q: Shipping outside US? A: No, HP.com ships only to addresses within the United States."",""Q: Connectivity? A: Includes modern Wi-Fi 6E and a physical RJ-45 (ethernet) port."",""Q: AI Features? A: Yes, it runs Windows 11 which includes Microsoft Copilot.""]","Family: Intel® Core™ Ultra 5 processor Intel® Core™ Ultra 7 processor
Models: Intel® Core™ Ultra 7 155 H (up to 3.8 GHzE-core MaxTurbo frequency,up to 4.8 GHzP-core MaxTurbo frequency, 24 MBL 3 cache,6 P- cores and 8 E-cores, 22 threads) Intel® Core™ Ultra 5 125 H (up to 3.6 GHzE-core MaxTurbo frequency,up to 4.5 GHzP-core MaxTurbo frequency, 18 MBL 3 cache,4 P- cores and 8 E-cores, 18 threads) Intel® Core™ Ultra 7 155 U (up to 3.8 GHzE-core MaxTurbo frequency,up to 4.8 GHzP-core MaxTurbo frequency, 12 MBL 3 cache,2 P- cores and 8 E-cores, 14 threads) Intel® Core™ Ultra 5 125 U (up to 3.6 GHzE-core MaxTurbo frequency,up to 4.3 GHzP-core MaxTurbo frequency, 12 MBL 3 cache,2 P- cores and 8 E-cores, 14 threads)",Windows 11 Pro Windows 11 Pro Education Windows 11 Home-HPrecommendsWindows 11 Proforbusiness Windows 11 HomeSingle Language - HPrecommendsWindows 11 Pro for business Windows 11 Pro (Windows 11 EnterpriseorWindows 10 Enterprise available with aVolumeLicensing Agreement) FreeDOS 1 1 1 1 1,"Integrated: Intel® Arc™ Graphics; Intel® Graphics Discrete: NVIDIA®GeForceRTX™ 2050 LaptopGPU(4 GBGDDR 6 dedicated) (Support DX 12 and HDMI 2.1.) 12,44 13",-,"Maximum: 32 GBDDR 5-5600 MT/sRAM;(Transferrates upto 5600 MT/s.) Dual channel support. 6
Slots: 2 SODIMM",-,"Size: 35.6 cm(14"")
Options: 14"" diagonal,WUXGA(1920 x 1200), IPS, anti-glare,400 nits, low power,100%sRGBwith HPEyeEase; 14"" diagonal,WUXGA(1920 x 1200), IPS, anti-glare,300 nits, 45%NTSC;14""diagonal,WUXGA(1920 x 1200), touch, IPS, anti-glare,300 nits,45%NTSC;14""diagonal,WQXGA (2560 x 1600), IPS, anti-glare,500 nits,100%DCI-P 3 35.6 cm(14"") diagonal,WUXGA(1920 x 1200), IPS, anti-glare,400 nits, low power,100%sRGBwith HPEyeEase; 35.6 cm(14"") diagonal, WUXGA(1920 x 1200), IPS, anti-glare,300 nits, 45%NTSC;35.6 cm(14"") diagonal,WUXGA(1920 x 1200),touch, IPS, anti-glare,300 nits, 45%NTSC;35.6 cm(14"") diagonal, WQXGA(2560 x 1600),IPS,anti-glare,500 nits,100%DCI-P 3",HDMI 2.1; DisplayPort 1.4 over USB-C,"Audio by Poly Studio, dual stereo speakers with discrete amplifiers, integrated dual array microphones",FHDcamera(select models); 5 MPIRcamera(select models) 15,"Spill-resistant, optional backlit keyboard with DuraKeys ; Clickpad with multi-touch gesture support; Microsoft Precision Touchpad 14","Dimensions: 12.54 x 8.83 x 0.43 in (front); 12.54 x 8.83 x 0.67 in (rear); 31.86 x 22.44 x 1.09 cm(front); 31.86 x 22.43 x 1.7 cm(rear); (Front height measurement is near the front edgewherethechassis bottom cover taper begins.Back height measurement is near the back edge where the chassis bottom cover taper ends.); 2.71 x 17.67 x 12 in 6.9 x 44.9 x 30.5 cm(Package)
Weight: Starting at 3.08 lb; Starting at 1.39 kg; (Weight will vary by configuration.Does not include poweradapter.)","Manufactured with sustainability in mind, this ProBook 440 contains 50 percent post-industrial recycled stamped aluminum in the chassis and 100 percent sustainably sourced materials in the outer box. Carry this laptop in style with a sleek, compact chassis featuring stylish aluminum components.","2 USBType-C® 20 Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HPSleepandCharge); 2 USBType-A 5 Gbps signaling rate (1 charging, 1 power); 1 HDMI 2.1; 1 stereo headphone/microphone combojack; 1 RJ-45 ; (HDMI cable sold separately.)",1 nano SIM (optional) (Nano SIM / WWAN option),"Wi-Fi 6 EAX 211 (2 x 2) and Bluetooth® 5.3 wireless card
Wi-Fi 6 E RTL 8852 CE 802.11 a/b/g/n/ax (2 x 2) and Bluetooth® 5.3 wireless card",-,ltek Wi-Fi 6 E RTL 8852 CE 802.11 a/b/g/n/ax (2 x 2) and Bluetooth® 5.3 wireless card Qualcomm® 9205 LTECat-M 1 LTEAdvancedPro,Supports universal USB-C docking (two multifunction USB-C ports),"HPLongLife 3-cell,56 WhLi-ion polymer ; Battery is internal and not replaceable by customer. Serviceable by warranty. Fast charging 50%in 30 minutes. 37 39",45 WUSBType-C®adapter; 65 WUSBType-C®adapter; HP 100 WUSBType-C®slimadapter; HP 65 WUSBType-C®Halogen-free adapter 38,Optional 5MP IR Camera (Windows Hello),-,"Software: Adobeoffer; BuyOffice; HPConnection Optimizer; HPEasyClean ; HPEasyClean Keyboard Driver; HPMACAddressManager;Copilot in Windowswith Copilot key ; HPPCHardwareDiagnostics UEFI; HPPCHardwareDiagnostics Windows; HPPowerManager ;HP Privacy Settings; HPServices Scan ; HPSmartSupport ; HPSupportAssistant ; HSAFusion for Commercial; HSATelemetry for Commercial; myHP; Miro offer 41 19 42 43 57 21 22
Security Licenses: HPWolf Pro Security Edition 56
Management Features: HPClient Catalog (download) HPCloud Recovery HPConnect for Microsoft Endpoint Manager HPClient Management Script Library (download) HPDriver Packs (download) HPImageAssistant (download) HPManageability Integration Kit (download) HP Patch Assistant (download) 23 24 25 26","1-year warranty and 90 daysoftware limited warranty options depending on country. Batteries haveadefault oneyear limited warranty. Refer to http://www.hp.com/support/batterywarranty/ for additional battery information. On-site serviceand extended coverage is also available.HPCarePack Services are optional extended service contracts that go beyond the standard limited warranties. To choose the right level of service foryourHPproduct,usetheHPCarePack Services LookupTool at: http://www.hp.com/go/cpc .","Ecolabels: EPEAT® registered configurations available; TCOCertified configurations available; EPEAT® Gold registered in the U.S. 40
Energy Star: ENERGYSTAR®certified
Compliance: GSMark;CSA/UL 62368-1; FCC/ICES/CISPR/VCCI; CEMarking; China CCC/SRRC;Taiwan BSMI/NCC; Korea KCC/KC/KES; Ukraine NSoC/TEC; EAEUCompliance; Saudi Arabian Compliance; Lowblue light;WWRoHS
Sustainability: Lowhalogen; Bulk packaging available; Molded paper pulp cushion inside box is 100% sustainably sourced and recyclable; Outside box and corrugated cushionsare 100% sustainably sourced and recyclable; 20%post-consumerrecycled plastic; Ocean-bound plastic in speaker enclosureand system fan; 50%recycled metal 45,46,47,48,49
MIL-STD Tested (marketing claim)"
HP,ProBook 445,"$1,629.00",Available,3% back in HP Rewards,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP,ProBook 450,"$2,617.00",Available,3% back in HP Rewards,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP,ProBook 450 15.6 inch G10 Notebook PC,Not Available,Not Available,"FREE Storewide Shipping
Save $30 on select printers when you buy any PC!","{""Overall Rating"": ""4.4/5 (268 reviews)"", ""Star Breakdown"": ""5-star: 182, 4-star: 48, 3-star: 12, 2-star: 7, 1-star: 19"", ""AI Summary"": ""Customers generally praise the HP ProBook 450 G10 for its performance, reliability, and value, especially for business and traveling staff. Many find it easy to use and appreciate the 15-inch screen. However, some users reported software issues and concerns about the durability of the power plug and keyboard."", ""User Feedback"": ""Praised for being a solid, stable, and reliable workhorse, great for work, and offering good cost-benefit. Some users experienced software issues and power plug failures.""}","[""Q: Show best computers for video editing, cinematography A: For personalized assistance, it is recommended to open a chat with an HP Live Expert. You can open a chat by clicking the chat icon on the bottom right corner of this product page. The HP Live Expert can assist with choosing the perfect solution for your request and needs."", ""Q: HP ProBook 450 15.6 inch G10 Notebook PC Wolf Pro Security Edition is out of stock How can I order and when is it expected to be in stock A: Thank you for your question! This forum does not have pricing or inventory information. For assistance, please get in touch with HP Store Customer Service at this link: https://www.hp.com/us-en/shop/cv/customerservice"", ""Q: Is this 64 bit compatible for plc programs? A: Thank you for your question! This HP ProBook 450 15.6 inch G10 Notebook PC is 64-bit compatible. To determine individual software compatibility, please visit the software manufacturer's website"", ""Q: Is the screen a touch screen? A: Hello. Thanks for your question. This HP ProBook 450 15.6 inch G10 Notebook PC Wolf Pro Security Edition has a touchscreen."", ""Q: What type of software comes with the computer? A: Hello. Thanks for your question. This HP ProBook 450 15.6 inch G10 Notebook PC Wolf Pro Security Edition comes with the following software: HP Connection Optimizer; HP Hotkey Support; HP Support Assistant; HP Power Manager; myHP; HP Privacy Settings; HP Notifications; HP QuickDrop; HP PC Hardware Diagnostics Windows; HP Services Scan; and HP Smart Support (download)."", ""Q: Why is this on such a deep sale? Is it obsolete? How old is this system? A: Thank you for your question! This forum does not have information on pricing or promotions as pricing is subject to change."", ""Q: Is there an ethernet port on this model? A: Thank you for your question! Yes, this HP ProBook 450 15.6 inch G10 Notebook PC features an RJ-45 Ethernet Port."", ""Q: Does this laptop (HP ProBook 450 15.6 inch G10 Notebook PC Wolf Pro Security Edition) have Trusted Computing Group (TCG)-compliant BIOS or UEFI firmware? A: Thank you for your question, Carl! Yes, the HP ProBook 450 15.6 inch G10 Notebook PC meets these requirements. For details, please visit this link: https://ftp.hp.com/pub/caps-softpaq/cmit/whitepapers/HPBIOSSetup.pdf"", ""Q: I am looking for the standard (non-usb-c) ac adapter for this laptop. Can you link me to the correc product on your site? A: Hello. Thanks for your question. This HP ProBook 450 15.6 inch G10 Notebook PC Wolf Pro Security Edition uses the 45 W USB Type-C adapter. There is no other option."", ""Q: does this computer work in europe on 220 volt current A: Hello, Jeff. Thanks for your question. You would need an International Travel converter power adapter to use this HP laptop outside of the USA.""]","Family: Intel® Pentium® processor 13 th Generation Intel® Core™ i 7 processor 13 th Generation Intel® Core™ i 5 processor 13 th Generation Intel® Core™ i 3 processor
Models: Intel® Core™ i 7-1355 U (1.2 GHzE-core base frequency, 1.7 GHzP-core base frequency,up to 3.7 GHzE-core MaxTurbo frequency,up to 5.0 GHzP- core MaxTurbo frequency, 12 MBL 3 cache,2 P-cores and 8 E-cores, 12 threads) Intel® Core™ i 5-1335 U (0.9 GHzE-core base frequency, 1.3 GHzP-core base frequency,up to 3.4 GHzE-core MaxTurbo frequency,up to 4.6 GHzP- core MaxTurbo frequency, 12 MBL 3 cache,2 P-cores and 8 E-cores, 12 threads) Intel® Core™ i 3-1340 P with Intel® UHDGraphics (0.9 GHzE-core base frequency, 1.2 GHzP-core base frequency,up to 3.3 GHzE-core MaxTurbo frequency,up to 4.5 GHzP-core MaxTurbo frequency, 10 MBL 3 cache,2 P-cores and 4 E-cores,6 threads) Intel® Pentium® U 300 with Intel® UHDGraphics (0.9 GHzE-core base frequency, 1.2 GHzP-core base frequency,up to 3.3 GHzE-core MaxTurbo frequency,up to 4.4 GHzP-core burst frequency,8 MBL 3 cache,1 P-coreand 4 E-cores,6 threads) Intel® Core™ i 7-1360 P (1.6 GHzE-core base frequency, 2.2 GHzP-core base frequency,up to 3.7 GHzE-core MaxTurbo frequency,up to 5.0 GHzP- core MaxTurbo frequency, 18 MBL 3 cache,4 P-cores and 8 E-cores, 16 threads) Intel® Core™ i 5-1340 P (1.4 GHzE-core base frequency, 1.9 GHzP-core base frequency,up to 3.4 GHzE-core MaxTurbo frequency,up to 4.6 GHzP- core MaxTurbo frequency, 12 MBL 3 cache,4 P-cores and 8 E-cores, 16 threads) Intel® Core™ i 5-1334 U (0.9 GHzE-core base frequency, 1.3 GHzP-core base frequency,up to 3.4 GHzE-core MaxTurbo frequency,up to 4.6 GHzP- core MaxTurbo frequency, 12 MBL 3 cache,2 P-cores and 8 E-core, 12 threads)","Windows 11 Pro Windows 11 Pro Education Windows 11 Home-HPrecommendsWindows 11 Proforbusiness Windows 11 HomeSingle Language - HPrecommendsWindows 11 Pro for business Windows 11 Pro (Windows 11 EnterpriseorWindows 10 Enterprise available with aVolumeLicensing Agreement) Windows 11 Pro (preinstalled withWindows 10 Pro Downgrade) FreeDOS 1 1 1 1 1 1,2","Integrated: Intel® UHDGraphics; Intel® Iris®X ᶱ Graphics Discrete: NVIDIA®GeForceRTX™ 2050 LaptopGPU(4 GBGDDR 6 dedicated) (Support CUDA,Optimus,PhysX,GPUBoost 2.0.) 14,42 43",-,"Maximum: 32 GBDDR 4-3200 MHzRAM;(Transferrates up to 3200 MT/s.); Both slots are accessible/upgradeable by IT or self-maintainers only. Supports dual channel memory. 7
Slots: 2 SODIMM",-,"Size: 39.6 cm(15.6"")
Options: 39.6 cm(15.6"") diagonal, FHD(1920 x 1080), narrow bezel, anti-glare,250 nits, 45%NTSC;39.6 cm(15.6"") diagonal, FHD(1920 x 1080), touch, narrow bezel, anti-glare,250 nits, 45%NTSC;39.6 cm(15.6"") diagonal, FHD(1920 x 1080), narrow bezel, anti-glare,400 nits, low power,100%sRGB; 39.6 cm(15.6"") diagonal, QHD(2560 x 1440),anti-glare, narrow bezel,300 nits,72%NTSC",HDMI 2.1; DisplayPort 1.4 over USB-C,"Dual stereo speakers, dual array microphones",720 pHDcamerawithtemporal noise reduction (select models); IRCamera (select models) 14,"HPPremiumKeyboard - spill-resistant, full-size, optional backlit keyboard with numeric keypad ; Clickpad with multi-touch gesture support 13","Dimensions: 35.94 x 23.39 x 1.99 cm; 6.9 x 48.3 x 30.5 cm(Package)
Weight: Starting at 1.79 kg; (Weight will vary by configuration.Does not include poweradapter.)",-,"2 USBType-A 5 Gbps signaling rate (1 charging, 1 power); 1 ACpower; 1 HDMI 2.1; 1 stereo headphone/microphone combojack; 1 RJ-45;2 USB Type-C® 10 Gbps signaling rate (USB Power Delivery, DisplayPort™ 2.1) ; (HDMI cable sold separately.); Optional Ports: 1 ExternalNanoSIMslotforWWAN 41",-,"Wi-Fi 6 EAX 211 (2 x 2) and Bluetooth® 5.3 wireless card, non-vPro®
Wi-Fi 6 E RTL 8852 CE 802.11 a/b/g/n/ax (2 x 2) and Bluetooth® 5.3 wireless card",-,ltek RTL 8111 HSH-CG 10/100/1000 GbENIC ltek Wi-Fi 6 E RTL 8852 CE 802.11 a/b/g/n/ax (2 x 2) and Bluetooth® 5.3 wireless card LTEAdvancedProCat 16,Supports universal USB-C docking (two multifunction USB-C ports),"HPLongLife 3-cell, 42 WhLi-ion polymer; HPLongLife 3-cell,51 Whpolymer ; Battery is internal and not replaceable by customer. Serviceable by warranty. 36",HPSmart 65 WEMExternalACpoweradapter; HPSmart 45 WExternalACpoweradapter; HPSmart 65 WUSBType-C®adapter;HP Smart 45 WUSBType-C®adapter 37,-,-,"Software: HPConnection Optimizer; HPHotkey Support; HPSupportAssistant; HPPowerManager; myHP; HPPrivacy Settings; HPNotifications;HP QuickDrop; HPPCHardwareDiagnostics Windows; HPServices Scan; HPSmartSupport (download)Microsoft 365 sold separatelyand requires Internet access for activation. 17,18,19,38,44,45
Security Licenses: HPWolf Pro Security Edition 56
Management Features: HPClient Management Script Library (download); HPDriver Packs (download); HPClient Catalog (download); HPManageability Integration KitGen 4 (download); HPImageAssistantGen 5 (download); HPCloud Recovery 20,21","1-yearand 3-year limited warranties and 90 daysoftware limited warranty options depending on country. Batteries haveadefault oneyear limited warranty. Refer to http://www.hp.com/support/batterywarranty/ for additional battery information. On-site service and extended coverage is also available.HPCarePack Services are optional extended service contracts that go beyond the standard limited warranties. To choose the right level of service foryourHPproduct,usetheHPCarePack Services LookupTool at: http://www.hp.com/go/cpc .","Ecolabels: CECP; IT ECODeclaration; EPEAT® Gold registered in the U.S.; SEPA; Taiwan Green Mark; Japan PCGreen Label;KOECO;TCO Certified 39
Energy Star: ENERGYSTAR®certified
Sustainability: LowHalogen; Bulk packaging available; Molded paper pulp cushion inside box is 100% sustainably sourced and recyclable; Outside box and corrugated cushionsare 100% sustainably sourced and recyclable; 10%post-consumer recycled plastic 44
MIL-STD Tested (marketing claim)"
HP,ProBook 460,"$1,919.00",Available,3% back in HP Rewards,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HP,ProBook 465,"$1,639.00",Available,3% back in HP Rewards,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lenovo,Legion 5 Gen 10 (15″ AMD) Gaming Laptop,"$1,117.74",Available,Earn $33 in Rewards,"4.2 out of 5 stars, 48 reviews.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lenovo,Legion Pro 5i Gen 10 (16″ Intel) Gaming Laptop,"$1,249.99",Available,Earn $37 in Rewards,"4.7 out of 5 stars, 125 reviews.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lenovo,ThinkBook 16 Gen 7 (16″ AMD) Laptop,$709.00,Available,Earn $21 in Rewards,"4.5 out of 5 stars, 239 reviews.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lenovo,ThinkBook 16 Gen 8 (16″ Intel) Laptop,$689.00,Available,Earn $20 in Rewards,"4.4 out of 5 stars, 88 reviews.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lenovo,ThinkPad E14 Gen 5 (14″ Intel) Laptop,"$1,019.00",Available,Earn $30 in Rewards,"4.5 out of 5 stars, 301 reviews.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
